,Text,new_text2,Tokeniz,baku_text,stemmed_text
0,lu mau  prodemokrasi di negara ini bisa punya kesempatan lagi buat ngelawan oligarki di indo pilih amin tpi jangan pilih pks pilih partai buruh jangan pilih prabowo dan semua partai pengusungnya pilih gama tpi jangan pilih pdip pilih partai buruh ,prodemokrasi kesempatan ngelawan oligarki indo tpi pks partai buruh partai pengusungnya gama tpi pdip partai buruh,"['prodemokrasi', 'kesempatan', 'ngelawan', 'oligarki', 'indo', 'tpi', 'pks', 'partai', 'buruh', 'partai', 'pengusungnya', 'gama', 'tpi', 'pdip', 'partai', 'buruh']","['prodemokrasi', 'kesempatan', 'melawan', 'oligarki', 'indonesia', 'tapi', 'pks', 'partai', 'buruh', 'partai', 'pengusungnya', 'gama', 'tapi', 'pdip', 'partai', 'buruh']","['prodemokrasi', 'sempat', 'lawan', 'oligarki', 'indonesia', 'tapi', 'pks', 'partai', 'buruh', 'partai', 'usung', 'gama', 'tapi', 'pdip', 'partai', 'buruh']"
1,prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter  saat orde barudibantah ganjar hutang luar negeri demi infrastruktur bisa berbahaya btw bajunya ganjar matching dengan tema debatanies menegaskan normal hutang luar negeri yg aman tak lebih dari  gdp hutang dipakai menhan membeli alutsista bekas adalah suatu kesiasiaanprabowo tak merespon soal alutsista bekas karena jika membeli baru uang yg dikeluarkan lebih besar ,hutang negeri hutang negeri terhitung rendah khawatir intervensi asing akibat hutang krisis moneter orde barudibantah hutang negeri infrastruktur berbahaya btw bajunya matching tema debatanies normal hutang negeri aman gdp hutang dipakai membeli alutsista bekas kesiasiaanprabowo merespon alutsista bekas membeli uang dikeluarkan,"['hutang', 'negeri', 'hutang', 'negeri', 'terhitung', 'rendah', 'khawatir', 'intervensi', 'asing', 'akibat', 'hutang', 'krisis', 'moneter', 'orde', 'barudibantah', 'hutang', 'negeri', 'infrastruktur', 'berbahaya', 'btw', 'bajunya', 'matching', 'tema', 'debatanies', 'normal', 'hutang', 'negeri', 'aman', 'gdp', 'hutang', 'dipakai', 'membeli', 'alutsista', 'bekas', 'kesiasiaanprabowo', 'merespon', 'alutsista', 'bekas', 'membeli', 'uang', 'dikeluarkan']","['hutang', 'negeri', 'hutang', 'negeri', 'terhitung', 'rendah', 'khawatir', 'intervensi', 'asing', 'akibat', 'hutang', 'krisis', 'moneter', 'orde', 'barudibantah', 'hutang', 'negeri', 'infrastruktur', 'berbahaya', 'btw', 'bajunya', 'matching', 'tema', 'debatanies', 'normal', 'hutang', 'negeri', 'aman', 'gdp', 'hutang', 'dipakai', 'membeli', 'alutsista', 'bekas', 'kesiasiaanprabowo', 'merespon', 'alutsista', 'bekas', 'membeli', 'uang', 'dikeluarkan']","['hutang', 'negeri', 'hutang', 'negeri', 'hitung', 'rendah', 'khawatir', 'intervensi', 'asing', 'akibat', 'hutang', 'krisis', 'moneter', 'orde', 'barudibantah', 'hutang', 'negeri', 'infrastruktur', 'bahaya', 'btw', 'baju', 'matching', 'tema', 'debatanies', 'normal', 'hutang', 'negeri', 'aman', 'gdp', 'hutang', 'pakai', 'beli', 'alutsista', 'bekas', 'kesiasiaanprabowo', 'merespon', 'alutsista', 'bekas', 'beli', 'uang', 'keluar']"
2,kikidaliyo  ganjar pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yg baik buat kita semua ganjarmerawatpancasila mahfud hebat     happy new year,sosok mengagunhkan nilai nilai pancasila kesadaran happy new year,"['sosok', 'mengagunhkan', 'nilai', 'nilai', 'pancasila', 'kesadaran', 'happy', 'new', 'year']","['sosok', 'mengagunhkan', 'nilai', 'nilai', 'pancasila', 'kesadaran', 'happy', 'new', 'year']","['sosok', 'mengagunhkan', 'nilai', 'nilai', 'pancasila', 'sadar', 'happy', 'new', 'year']"
3,kumparan prabowo gibran yang bisa melakukan itu semua demi kesejahteraan rakyat,kumparan kesejahteraan,"['kumparan', 'kesejahteraan']","['kumparan', 'kesejahteraan']","['kumpar', 'sejahtera']"
4, udazulhendra ainunnajib lah justru yg gak nyambung junjungan elu aomkmkmkmkngomongin etika tapi ngatain pak anies omon omon sambil nyenyek tuh gimana  pak anies masih sopan lho gak ngakak brutal atau pasang wajah mengejek waktu dia asbun hutang  atau nyuruh belajar ekonomi lagi,udazulhendra ainunnajib gak nyambung junjungan aomkmkmkmkngomongin etika ngatain omon omon nyenyek tuh gimana sopan lho gak ngakak brutal wajah mengejek asbun hutang nyuruh belajar ekonomi,"['udazulhendra', 'ainunnajib', 'gak', 'nyambung', 'junjungan', 'aomkmkmkmkngomongin', 'etika', 'ngatain', 'omon', 'omon', 'nyenyek', 'tuh', 'gimana', 'sopan', 'lho', 'gak', 'ngakak', 'brutal', 'wajah', 'mengejek', 'asbun', 'hutang', 'nyuruh', 'belajar', 'ekonomi']","['udazulhendra', 'ainunnajib', 'enggak', 'menyambung', 'junjungan', 'aomkmkmkmkngomongin', 'etika', 'mengatai', 'omon', 'omon', 'nyenyek', 'tuh', 'bagaimana', 'sopan', 'lho', 'enggak', 'mengakak', 'brutal', 'wajah', 'mengejek', 'asbun', 'hutang', 'nyuruh', 'belajar', 'ekonomi']","['udazulhendra', 'ainunnajib', 'enggak', 'sambung', 'junjung', 'aomkmkmkmkngomongin', 'etika', 'katai', 'omon', 'omon', 'nyenyek', 'tuh', 'bagaimana', 'sopan', 'lho', 'enggak', 'akak', 'brutal', 'wajah', 'ejek', 'asbun', 'hutang', 'nyuruh', 'ajar', 'ekonomi']"
5,nelayan tak bisa terus terjebak dalam kredit macet oleh karena itu ganjar pranowo mahfud md bersama kita buka pintu kebebasan nelayankebebasan ganjarpranowopilihanumat ganjarmahfudrebound jnk ,nelayan terjebak kredit macet buka pintu kebebasan nelayankebebasan,"['nelayan', 'terjebak', 'kredit', 'macet', 'buka', 'pintu', 'kebebasan', 'nelayankebebasan']","['nelayan', 'terjebak', 'kredit', 'macet', 'buka', 'pintu', 'kebebasan', 'nelayankebebasan']","['nelayan', 'jebak', 'kredit', 'macet', 'buka', 'pintu', 'bebas', 'nelayankebebasan']"
6,prabowo anti kebebasan pers,anti kebebasan pers,"['anti', 'kebebasan', 'pers']","['anti', 'kebebasan', 'pers']","['anti', 'bebas', 'pers']"
7,kontrak terbuka ganjar pranowo adalah cermin dari kepedulian untuk kita semua yuk bersama jaga kedaulatan panganjnk ganjarmahfudrebound ganjarpranowopilihanumat ,kontrak terbuka cermin kepedulian yuk jaga kedaulatan,"['kontrak', 'terbuka', 'cermin', 'kepedulian', 'yuk', 'jaga', 'kedaulatan']","['kontrak', 'terbuka', 'cermin', 'kepedulian', 'yuk', 'jaga', 'kedaulatan']","['kontrak', 'buka', 'cermin', 'peduli', 'yuk', 'jaga', 'daulat']"
8,  ganjar mahfud hebat    pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika ganjar mahfud hebat   ,menjungjung toleransi menerapkan bhineka tunggal ika,"['menjungjung', 'toleransi', 'menerapkan', 'bhineka', 'tunggal', 'ika']","['menjungjung', 'toleransi', 'menerapkan', 'bhineka', 'tunggal', 'ika']","['menjungjung', 'toleransi', 'terap', 'bhineka', 'tunggal', 'ika']"
9,ganjarmahfud adalah harapan baru untuk pertumbuhan ekonomi kita  happy new year  ,harapan pertumbuhan ekonomi happy new year,"['harapan', 'pertumbuhan', 'ekonomi', 'happy', 'new', 'year']","['harapan', 'pertumbuhan', 'ekonomi', 'happy', 'new', 'year']","['harap', 'tumbuh', 'ekonomi', 'happy', 'new', 'year']"
10, diplomasi ganjar  lipat anis saat anis tanya nilai wo dipancing anis keluarin blunder angka  penghinaan beda dan wajar dgan angka ,diplomasi lipat nilai wo dipancing keluarin blunder angka penghinaan beda wajar dgan angka,"['diplomasi', 'lipat', 'nilai', 'wo', 'dipancing', 'keluarin', 'blunder', 'angka', 'penghinaan', 'beda', 'wajar', 'dgan', 'angka']","['diplomasi', 'lipat', 'nilai', 'wo', 'dipancing', 'mengeluarkan', 'blunder', 'angka', 'penghinaan', 'beda', 'wajar', 'dgan', 'angka']","['diplomasi', 'lipat', 'nilai', 'wo', 'pancing', 'keluar', 'blunder', 'angka', 'hina', 'beda', 'wajar', 'dgan', 'angka']"
11,malumaluin dari gemoy ke minyak goreng apakah tidak ada cara kampanye yang lebih terhormat u masyarakat dan demokrasi kenapa masyarakat dan demokrasi diukurukur dg sembako dan rupiah contoh lah desak anies terhormat  ,malumaluin gemoy minyak goreng kampanye terhormat u demokrasi demokrasi diukurukur sembako rupiah contoh terhormat,"['malumaluin', 'gemoy', 'minyak', 'goreng', 'kampanye', 'terhormat', 'u', 'demokrasi', 'demokrasi', 'diukurukur', 'sembako', 'rupiah', 'contoh', 'terhormat']","['malumaluin', 'gemoy', 'minyak', 'goreng', 'kampanye', 'terhormat', 'untuk', 'demokrasi', 'demokrasi', 'diukurukur', 'sembako', 'rupiah', 'contoh', 'terhormat']","['malumaluin', 'gemoy', 'minyak', 'goreng', 'kampanye', 'hormat', 'untuk', 'demokrasi', 'demokrasi', 'diukurukur', 'sembako', 'rupiah', 'contoh', 'hormat']"
12,saking pen junjungan mrk prabowo brkuasa ap sj dlanggar bawasluri dan kpuid sj mlempem letoy hdapi planggaran mrk yg tak bretika  aminajadulu   ,saking pen junjungan brkuasa ap dlanggar bawasluri kpuid mlempem letoy hdapi planggaran bretika,"['saking', 'pen', 'junjungan', 'brkuasa', 'ap', 'dlanggar', 'bawasluri', 'kpuid', 'mlempem', 'letoy', 'hdapi', 'planggaran', 'bretika']","['saking', 'pengin', 'junjungan', 'brkuasa', 'apa', 'dlanggar', 'bawasluri', 'kpuid', 'mlempem', 'letoy', 'hdapi', 'planggaran', 'bretika']","['saking', 'pengin', 'junjung', 'brkuasa', 'apa', 'dlanggar', 'bawasluri', 'kpuid', 'mlempem', 'letoy', 'hdapi', 'planggaran', 'bretika']"
13,manifesto gerakan rakyat untuk perubahan lintas profesi di pantura jawa tengah kompak dukung aniesmuhaimin amin  ,manifesto gerakan perubahan lintas profesi pantura kompak,"['manifesto', 'gerakan', 'perubahan', 'lintas', 'profesi', 'pantura', 'kompak']","['manifesto', 'gerakan', 'perubahan', 'lintas', 'profesi', 'pantura', 'kompak']","['manifesto', 'gera', 'ubah', 'lintas', 'profesi', 'pantura', 'kompak']"
14,masyaallah gegap gempita para santriwansantriwati saat menyambut kehadiran ganjar ke ponpes an nawawi berjan purworejo  selain semarak dari barisan santri dalam kunjungannya ganjar pranowo turut mendapat doa terbaik supaya hajatnya menjadi kepala negara untuk memberikan kesejahteraan kepada rakyat indonesia dikabulkan oleh tuhan yang maha esa aamiin ,masyaallah gegap gempita santriwansantriwati menyambut kehadiran ponpes an nawawi berjan purworejo semarak barisan santri kunjungannya doa terbaik hajatnya kepala kesejahteraan dikabulkan tuhan maha esa aamiin,"['masyaallah', 'gegap', 'gempita', 'santriwansantriwati', 'menyambut', 'kehadiran', 'ponpes', 'an', 'nawawi', 'berjan', 'purworejo', 'semarak', 'barisan', 'santri', 'kunjungannya', 'doa', 'terbaik', 'hajatnya', 'kepala', 'kesejahteraan', 'dikabulkan', 'tuhan', 'maha', 'esa', 'aamiin']","['masyaallah', 'gegap', 'gempita', 'santriwansantriwati', 'menyambut', 'kehadiran', 'ponpes', 'an', 'nawawi', 'berjan', 'purworejo', 'semarak', 'barisan', 'santri', 'kunjungannya', 'doa', 'terbaik', 'hajatnya', 'kepala', 'kesejahteraan', 'dikabulkan', 'tuhan', 'maha', 'esa', 'amin']","['masyaallah', 'gegap', 'gempita', 'santriwansantriwati', 'sambut', 'hadir', 'ponpes', 'an', 'nawawi', 'berjan', 'purworejo', 'semarak', 'baris', 'santri', 'kunjung', 'doa', 'baik', 'hajat', 'kepala', 'sejahtera', 'kabul', 'tuhan', 'maha', 'esa', 'amin']"
15,sesi saling tanya antar capres digunakan ganjar dan anies kompak untuk menyikat prabowoanies bertanya ke prabowo hubungannya etika pemimpin negara dengan pertahanan negaradi sini anies bermaksud menyerang etika jokowi soal pencawapresan gibranjuga terkait adanya kader gerindra yg menjadi rekanan kemhan mereka ialah glenny kairupan yudi magio yusuf prasetyo hadi  angga raka prabowo komisaris dari pt tmiprabowo menjawab jangan menghasut dan menyesatkan rakyat demi ambisi pribadi begitu prof anies baswedan prabowo berpendapat anies tak layak bicara etikauntuk ganjar prabowo menjelaskan kelayakan alutsista yg ia beli masih layak  tahun pakai ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahuntahun menurut prabowo setelah dibeli baru bisa digunakan  tahun selanjutnya ,kompak menyikat prabowoanies hubungannya etika pemimpin pertahanan negaradi menyerang etika pencawapresan gibranjuga terkait kader gerindra rekanan kemhan glenny kairupan yudi magio yusuf prasetyo hadi angga raka komisaris pt tmiprabowo menghasut menyesatkan ambisi pribadi berpendapat layak bicara etikauntuk kelayakan alutsista beli layak pakai membandingkan membeli alutsista nominalnya mengurus pembeliannya memakan bertahuntahun dibeli,"['kompak', 'menyikat', 'prabowoanies', 'hubungannya', 'etika', 'pemimpin', 'pertahanan', 'negaradi', 'menyerang', 'etika', 'pencawapresan', 'gibranjuga', 'terkait', 'kader', 'gerindra', 'rekanan', 'kemhan', 'glenny', 'kairupan', 'yudi', 'magio', 'yusuf', 'prasetyo', 'hadi', 'angga', 'raka', 'komisaris', 'pt', 'tmiprabowo', 'menghasut', 'menyesatkan', 'ambisi', 'pribadi', 'berpendapat', 'layak', 'bicara', 'etikauntuk', 'kelayakan', 'alutsista', 'beli', 'layak', 'pakai', 'membandingkan', 'membeli', 'alutsista', 'nominalnya', 'mengurus', 'pembeliannya', 'memakan', 'bertahuntahun', 'dibeli']","['kompak', 'menyikat', 'prabowoanies', 'hubungannya', 'etika', 'pemimpin', 'pertahanan', 'negaradi', 'menyerang', 'etika', 'pencawapresan', 'gibranjuga', 'terkait', 'kader', 'gerindra', 'rekanan', 'kemhan', 'glenny', 'kairupan', 'yudi', 'magio', 'yusuf', 'prasetyo', 'hadi', 'angga', 'raka', 'komisaris', 'pt', 'tmiprabowo', 'menghasut', 'menyesatkan', 'ambisi', 'pribadi', 'berpendapat', 'layak', 'bicara', 'etikauntuk', 'kelayakan', 'alutsista', 'beli', 'layak', 'pakai', 'membandingkan', 'membeli', 'alutsista', 'nominalnya', 'mengurus', 'pembeliannya', 'memakan', 'bertahuntahun', 'dibeli']","['kompak', 'sikat', 'prabowoanies', 'hubung', 'etika', 'pimpin', 'tahan', 'negaradi', 'serang', 'etika', 'pencawapresan', 'gibranjuga', 'kait', 'kader', 'gerindra', 'rekan', 'kemhan', 'glenny', 'kairupan', 'yudi', 'magio', 'yusuf', 'prasetyo', 'had', 'angga', 'raka', 'komisaris', 'pt', 'tmiprabowo', 'hasut', 'sesat', 'ambisi', 'pribadi', 'dapat', 'layak', 'bicara', 'etikauntuk', 'layak', 'alutsista', 'beli', 'layak', 'pakai', 'banding', 'beli', 'alutsista', 'nominal', 'urus', 'beli', 'makan', 'bertahuntahun', 'beli']"
