IDText;Text;new_text;Tokeniz;dibakukan;stemmed;pre_stem;Kelas_SVM;manual;Kelas_RF;Kelas_SVM_SMOTE_Minority;Kelas_SOMTERF;Kelas_SVM_SMOTE2;Kelas_Voting_Hard;Kelas_Stacking;Kelas_PCAVoting_Hard;Kelas_PCA_Stacking;Kelas_Stacking2;Kelas_Stacking3
TXT0001;"Lu mau org2 pro-demokrasi di negara ini bisa punya kesempatan lagi buat ngelawan oligarki di indo?

- Pilih AMIN, tpi jangan pilih PKS, pilih Partai Buruh
- Jangan pilih Prabowo dan semua partai pengusungnya
- Pilih GAMA, tpi jangan pilih PDIP, pilih Partai Buruh [RE debordsbitch]";prodemokrasi negara kesempatan ngelawan oligarki indo amin pks partai buruh partai pengusungnya gama pdip partai buruh;['prodemokrasi', 'negara', 'kesempatan', 'ngelawan', 'oligarki', 'indo', 'amin', 'pks', 'partai', 'buruh', 'partai', 'pengusungnya', 'gama', 'pdip', 'partai', 'buruh'];['prodemokrasi', 'negara', 'kesempatan', 'melawan', 'oligarki', 'indonesia', 'amin', 'pks', 'partai', 'buruh', 'partai', 'pengusungnya', 'gama', 'pdip', 'partai', 'buruh'];['prodemokrasi', 'negara', 'sempat', 'lawan', 'oligarki', 'indonesia', 'amin', 'pks', 'partai', 'buruh', 'partai', 'usung', 'gama', 'pdip', 'partai', 'buruh'];prodemokrasi negara sempat lawan oligarki indonesia amin pks partai buruh partai usung gama pdip partai buruh;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik;Politik
TXT0002;"Prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri Indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter 1997 saat Orde Baru.

Dibantah Ganjar hutang luar negeri demi infrastruktur bisa berbahaya. 
(BTW bajunya Ganjar matching dengan tema debat)

Anies menegaskan normal hutang luar negeri yg aman tak lebih dari 30% GDP. Hutang dipakai Menhan membeli alutsista bekas adalah suatu kesia-siaan.

Prabowo tak merespon soal alutsista bekas karena jika membeli baru uang yg dikeluarkan lebih besar. [RE mazzini_gsp]";hutang negeri hutang negeri indonesia terhitung rendah khawatir intervensi asing akibat hutang krisis moneter orde barudibantah hutang negeri infrastruktur berbahaya bajunya matching tema normal hutang negeri aman gdp hutang dipakai menhan membeli alutsista bekas merespon alutsista bekas membeli uang dikeluarkan;['hutang', 'negeri', 'hutang', 'negeri', 'indonesia', 'terhitung', 'rendah', 'khawatir', 'intervensi', 'asing', 'akibat', 'hutang', 'krisis', 'moneter', 'orde', 'barudibantah', 'hutang', 'negeri', 'infrastruktur', 'berbahaya', 'bajunya', 'matching', 'tema', 'normal', 'hutang', 'negeri', 'aman', 'gdp', 'hutang', 'dipakai', 'menhan', 'membeli', 'alutsista', 'bekas', 'merespon', 'alutsista', 'bekas', 'membeli', 'uang', 'dikeluarkan'];['hutang', 'negeri', 'hutang', 'negeri', 'indonesia', 'terhitung', 'rendah', 'khawatir', 'intervensi', 'asing', 'akibat', 'hutang', 'krisis', 'moneter', 'orde', 'barudibantah', 'hutang', 'negeri', 'infrastruktur', 'berbahaya', 'bajunya', 'matching', 'tema', 'normal', 'hutang', 'negeri', 'aman', 'gdp', 'hutang', 'dipakai', 'menhan', 'membeli', 'alutsista', 'bekas', 'merespon', 'alutsista', 'bekas', 'membeli', 'uang', 'dikeluarkan'];['hutang', 'negeri', 'hutang', 'negeri', 'indonesia', 'hitung', 'rendah', 'khawatir', 'intervensi', 'asing', 'akibat', 'hutang', 'krisis', 'moneter', 'orde', 'barudibantah', 'hutang', 'negeri', 'infrastruktur', 'bahaya', 'baju', 'matching', 'tema', 'normal', 'hutang', 'negeri', 'aman', 'gdp', 'hutang', 'pakai', 'menhan', 'beli', 'alutsista', 'bekas', 'merespon', 'alutsista', 'bekas', 'beli', 'uang', 'keluar'];hutang negeri hutang negeri indonesia hitung rendah khawatir intervensi asing akibat hutang krisis moneter orde barudibantah hutang negeri infrastruktur bahaya baju matching tema normal hutang negeri aman gdp hutang pakai menhan beli alutsista bekas merespon alutsista bekas beli uang keluar;Pertahanan dan Keamanan;Ekonomi;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Politik;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Pertahanan dan Keamanan;Ekonomi;Pertahanan dan Keamanan;Politik;Pertahanan dan Keamanan
TXT0003;"kiki_daliyo  Ganjar Pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yg baik buat kita semua #GanjarMerawatPancasila

 #Mahfud Hebat #MahfudLebihBaik3 #GanjarMahfud2024 #3MandatGanjarMahfud #L3bihbaik Happy New Year";kikidaliyo beliau sosok mengagunhkan nilai nilai pancasila kesadaran hebat happy new year;['kikidaliyo', 'beliau', 'sosok', 'mengagunhkan', 'nilai', 'nilai', 'pancasila', 'kesadaran', 'hebat', 'happy', 'new', 'year'];['kikidaliyo', 'beliau', 'sosok', 'mengagunhkan', 'nilai', 'nilai', 'pancasila', 'kesadaran', 'hebat', 'happy', 'new', 'year'];['kikidaliyo', 'beliau', 'sosok', 'mengagunhkan', 'nilai', 'nilai', 'pancasila', 'sadar', 'hebat', 'happy', 'new', 'year'];kikidaliyo beliau sosok mengagunhkan nilai nilai pancasila sadar hebat happy new year;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Politik;Ideologi
TXT0004;@kumparan Prabowo Gibran yang bisa melakukan itu semua demi kesejahteraan rakyat;kumparan kesejahteraan rakyat;['kumparan', 'kesejahteraan', 'rakyat'];['kumparan', 'kesejahteraan', 'rakyat'];['kumpar', 'sejahtera', 'rakyat'];kumpar sejahtera rakyat;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya;Politik;Sosial Budaya;Politik;Politik;Politik;Sosial Budaya
TXT0005;"@sniperruben45 @uda_zulhendra @ainunnajib Lah justru yg gak nyambung junjungan elu aomkmkmkmk

Ngomongin etika tapi ngatain Pak Anies omon omon sambil nyenyek tuh gimana? Ã°ÂŸÂ¤Â£ Pak Anies masih sopan lho, gak ngakak brutal atau pasang wajah mengejek waktu dia asbun hutang 50% atau nyuruh belajar ekonomi lagi.";nyambung junjungan etika ngatain anies tuh gimana anies sopan ngakak brutal pasang wajah mengejek asbun hutang nyuruh belajar ekonomi;['nyambung', 'junjungan', 'etika', 'ngatain', 'anies', 'tuh', 'gimana', 'anies', 'sopan', 'ngakak', 'brutal', 'pasang', 'wajah', 'mengejek', 'asbun', 'hutang', 'nyuruh', 'belajar', 'ekonomi'];['menyambung', 'junjungan', 'etika', 'mengatai', 'anies', 'tuh', 'bagaimana', 'anies', 'sopan', 'mengakak', 'brutal', 'pasang', 'wajah', 'mengejek', 'asbun', 'hutang', 'nyuruh', 'belajar', 'ekonomi'];['sambung', 'junjung', 'etika', 'katai', 'anies', 'tuh', 'bagaimana', 'anies', 'sopan', 'akak', 'brutal', 'pasang', 'wajah', 'ejek', 'asbun', 'hutang', 'nyuruh', 'ajar', 'ekonomi'];sambung junjung etika katai anies tuh bagaimana anies sopan akak brutal pasang wajah ejek asbun hutang nyuruh ajar ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Politik;Ekonomi
TXT0006;Nelayan tak bisa terus terjebak dalam kredit macet. Oleh karena itu, Ganjar Pranowo, Mahfud MD, bersama kita buka pintu kebebasan! #NelayanKebebasan #GanjarPranowoPilihanUmat #GanjarMahfudRebound #JNK https://t.co/0B2yVv4iuL;nelayan terjebak kredit macet md buka pintu kebebasan nelayankebebasan jnk;['nelayan', 'terjebak', 'kredit', 'macet', 'md', 'buka', 'pintu', 'kebebasan', 'nelayankebebasan', 'jnk'];['nelayan', 'terjebak', 'kredit', 'macet', 'md', 'buka', 'pintu', 'kebebasan', 'nelayankebebasan', 'jnk'];['nelayan', 'jebak', 'kredit', 'macet', 'md', 'buka', 'pintu', 'bebas', 'nelayankebebasan', 'jnk'];nelayan jebak kredit macet md buka pintu bebas nelayankebebasan jnk;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Politik;Ekonomi
TXT0007;"Prabowo anti kebebasan pers

https://t.co/7SNrs5rs4Z";anti kebebasan pers;['anti', 'kebebasan', 'pers'];['anti', 'kebebasan', 'pers'];['anti', 'bebas', 'pers'];anti bebas pers;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya;Politik;Sosial Budaya;Politik;Politik;Politik;Sosial Budaya
TXT0008;Kontrak terbuka Ganjar Pranowo adalah cermin dari kepedulian untuk kita semua. Yuk, bersama jaga kedaulatan pangan!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/SPFC60u1Eg;kontrak terbuka cermin kepedulian jaga kedaulatan panganjnk;['kontrak', 'terbuka', 'cermin', 'kepedulian', 'jaga', 'kedaulatan', 'panganjnk'];['kontrak', 'terbuka', 'cermin', 'kepedulian', 'jaga', 'kedaulatan', 'panganjnk'];['kontrak', 'buka', 'cermin', 'peduli', 'jaga', 'daulat', 'panganjnk'];kontrak buka cermin peduli jaga daulat panganjnk;Sosial Budaya;Politik;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Sosial Budaya;Politik;Sosial Budaya
TXT0009;Ã°ÂŸÂÂ½  Ganjar Mahfud Hebat #Coblos3 #3GM #GanjarMahfud2024 Pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika Ganjar Mahfud Hebat #3GM #Coblos3 https://t.co/SroCBsEg8W;hebat menjungjung toleransi menerapkan bhineka tunggal ika hebat;['hebat', 'menjungjung', 'toleransi', 'menerapkan', 'bhineka', 'tunggal', 'ika', 'hebat'];['hebat', 'menjungjung', 'toleransi', 'menerapkan', 'bhineka', 'tunggal', 'ika', 'hebat'];['hebat', 'menjungjung', 'toleransi', 'terap', 'bhineka', 'tunggal', 'ika', 'hebat'];hebat menjungjung toleransi terap bhineka tunggal ika hebat;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Ideologi;Politik;Ideologi
TXT0010;"Ganjar-Mahfud adalah harapan baru untuk pertumbuhan ekonomi kita. @Almonded3 Happy New Year 
#GanjarMahfud2024
#GanjarMahfudM3nang
#L3bihbaik https://t.co/xrKPiHj5YC";harapan pertumbuhan ekonomi happy new year;['harapan', 'pertumbuhan', 'ekonomi', 'happy', 'new', 'year'];['harapan', 'pertumbuhan', 'ekonomi', 'happy', 'new', 'year'];['harap', 'tumbuh', 'ekonomi', 'happy', 'new', 'year'];harap tumbuh ekonomi happy new year;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Ekonomi;Politik;Ekonomi
